Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
02-Nov-2017	sub208	905	  1	  1	  1	 0.00	  6	  3	 0.000	 0.014	 0.495	 2.219	 6.496	 1.709	12745.863	
02-Nov-2017	sub208	905	  1	  2	  1	 0.00	  6	  1	10.465	10.459	10.973	13.244	16.941	 2.255	12745.863	
02-Nov-2017	sub208	905	  1	  3	  1	 2.00	  9	  2	18.462	18.467	18.964	21.932	24.966	 2.951	12745.863	
02-Nov-2017	sub208	905	  1	  4	  1	 4.00	 12	  4	30.796	30.801	31.299	34.648	37.300	 3.344	12745.863	
02-Nov-2017	sub208	905	  1	  5	  1	 0.00	  7	  1	43.034	43.037	43.534	45.059	49.536	 1.509	12745.863	
02-Nov-2017	sub208	905	  1	  6	  1	 4.00	  9	  4	51.611	51.608	52.105	55.620	58.107	 3.506	12745.863	
02-Nov-2017	sub208	905	  1	  7	  1	 4.00	 12	  2	64.051	64.059	64.556	68.850	70.558	 4.278	12745.863	
02-Nov-2017	sub208	905	  1	  8	  1	 4.00	 12	  4	74.566	74.570	75.067	76.509	81.069	 1.432	12745.863	
02-Nov-2017	sub208	905	  1	  9	  1	 2.00	  7	  3	84.269	84.268	84.766	89.043	90.768	 4.261	12745.863	
02-Nov-2017	sub208	905	  1	 10	  1	 4.00	  9	  4	92.684	92.690	93.188	94.829	99.189	 1.630	12745.863	
02-Nov-2017	sub208	905	  1	 11	  1	 4.00	 12	  4	101.482	101.477	101.975	105.373	107.976	 3.387	12745.863	
02-Nov-2017	sub208	905	  1	 12	  1	 2.00	  9	  2	112.619	112.618	113.116	115.967	119.117	 2.837	12745.863	
02-Nov-2017	sub208	905	  1	 13	  1	 0.00	  7	  1	120.698	120.692	121.206	122.698	127.191	 1.475	12745.863	
02-Nov-2017	sub208	905	  1	 14	  1	 4.00	 12	  4	130.751	130.756	131.253	133.740	137.255	 2.476	12745.863	
02-Nov-2017	sub208	905	  1	 15	  1	 4.00	 12	  2	141.733	141.731	142.228	145.942	148.230	 3.701	12745.863	
02-Nov-2017	sub208	905	  1	 16	  1	 0.00	  7	  3	153.757	153.751	154.265	156.917	160.250	 2.648	12745.863	
02-Nov-2017	sub208	905	  1	 17	  1	 0.00	  6	  1	162.020	162.024	162.521	163.549	168.523	 1.016	12745.863	
