Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
07-Nov-2017	sub214	914	  1	  1	  1	 0.00	  9	  2	 0.000	 0.009	 0.507	 3.358	 6.508	 2.841	5093.106	
07-Nov-2017	sub214	914	  1	  2	  1	 0.00	  7	  3	 8.270	 8.265	 8.763	10.868	14.764	 2.091	5093.106	
07-Nov-2017	sub214	914	  1	  3	  1	 0.00	  6	  1	20.015	20.020	20.517	22.042	26.519	 1.510	5093.106	
07-Nov-2017	sub214	914	  1	  4	  1	 2.00	 12	  2	32.169	32.172	32.669	37.112	38.671	 4.429	5093.106	
07-Nov-2017	sub214	914	  1	  5	  1	 0.00	  7	  1	44.110	44.109	44.606	47.109	50.607	 2.500	5093.106	
07-Nov-2017	sub214	914	  1	  6	  1	 0.00	  6	  1	55.939	55.946	56.443	57.819	62.445	 1.375	5093.106	
07-Nov-2017	sub214	914	  1	  7	  1	 0.00	  6	  3	69.027	69.026	69.524	72.408	75.525	 2.877	5093.106	
07-Nov-2017	sub214	914	  1	  8	  1	 2.00	 12	  2	78.047	78.045	78.542	81.096	84.544	 2.547	5093.106	
07-Nov-2017	sub214	914	  1	  9	  1	 0.00	  7	  3	86.913	86.915	87.412	88.639	93.414	 1.221	5093.106	
07-Nov-2017	sub214	914	  1	 10	  1	 2.00	  9	  4	95.596	95.602	96.099	100.658	102.101	 4.549	5093.106	
07-Nov-2017	sub214	914	  1	 11	  1	 2.00	  9	  4	104.158	104.157	104.654	106.146	110.655	 1.491	5093.106	
07-Nov-2017	sub214	914	  1	 12	  1	 2.00	  9	  2	113.265	113.258	113.772	116.226	119.774	 2.452	5093.106	
07-Nov-2017	sub214	914	  1	 13	  1	 0.00	  6	  3	123.707	123.703	124.200	125.725	130.202	 1.512	5093.106	
07-Nov-2017	sub214	914	  1	 14	  1	 4.00	 12	  4	135.732	135.739	136.236	138.541	142.238	 2.291	5093.106	
07-Nov-2017	sub214	914	  1	 15	  1	 0.00	  7	  3	147.519	147.526	148.024	149.201	154.025	 1.175	5093.106	
07-Nov-2017	sub214	914	  1	 16	  1	 0.00	  7	  3	156.844	156.844	157.341	158.601	163.342	 1.250	5093.106	
07-Nov-2017	sub214	914	  1	 17	  1	 4.00	 12	  4	166.587	166.592	167.089	168.581	173.091	 1.486	5093.106	
07-Nov-2017	sub214	914	  1	 18	  1	 0.00	  7	  1	177.194	177.202	177.700	178.777	183.701	 1.075	5093.106	
07-Nov-2017	sub214	914	  1	 19	  1	 0.00	  6	  3	186.832	186.834	187.332	188.807	193.333	 1.466	5093.106	
07-Nov-2017	sub214	914	  1	 20	  1	 2.00	 12	  2	194.992	194.991	195.489	199.252	201.490	 3.749	5093.106	
07-Nov-2017	sub214	914	  1	 21	  1	 2.00	  9	  4	207.331	207.326	207.840	210.128	213.825	 2.286	5093.106	
07-Nov-2017	sub214	914	  1	 22	  1	 2.00	 12	  2	219.535	219.511	220.042	222.529	226.043	 2.483	5093.106	
07-Nov-2017	sub214	914	  1	 23	  1	 4.00	 12	  4	230.726	230.719	231.232	235.493	237.234	 4.252	5093.106	
07-Nov-2017	sub214	914	  1	 24	  1	 0.00	  9	  2	239.293	239.290	239.787	243.650	245.789	 3.849	5093.106	
