Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
06-Sep-2013	sub122	922	  2	  1	  1	 2.00	  9	  2	 0.000	 0.002	 0.503	 3.359	 6.498	 2.843	24870.003	
06-Sep-2013	sub122	922	  2	  2	  1	 2.00	  7	  3	 8.270	 8.269	 8.770	12.176	14.765	 3.400	24870.003	
06-Sep-2013	sub122	922	  2	  3	  1	 0.00	  6	  1	20.015	20.009	20.510	22.547	26.522	 2.021	24870.003	
06-Sep-2013	sub122	922	  2	  4	  1	 6.00	 12	  2	32.169	32.166	32.667	36.458	38.662	 3.783	24870.003	
06-Sep-2013	sub122	922	  2	  5	  1	 0.00	  7	  1	44.110	44.107	44.608	48.064	50.602	 3.443	24870.003	
06-Sep-2013	sub122	922	  2	  6	  1	 0.00	  6	  1	55.939	55.947	56.448	58.001	62.443	 1.546	24870.003	
06-Sep-2013	sub122	922	  2	  7	  1	 0.00	  6	  3	69.027	69.023	69.524	71.929	75.536	 2.391	24870.003	
06-Sep-2013	sub122	922	  2	  8	  1	 6.00	 12	  2	78.047	78.040	78.541	81.798	84.554	 3.245	24870.003	
06-Sep-2013	sub122	922	  2	  9	  1	 2.00	  7	  3	86.913	86.908	87.409	90.031	93.421	 2.617	24870.003	
06-Sep-2013	sub122	922	  2	 10	  1	 4.00	  9	  4	95.596	95.592	96.093	99.700	102.105	 3.605	24870.003	
06-Sep-2013	sub122	922	  2	 11	  1	 4.00	  9	  4	104.158	104.159	104.660	107.098	110.655	 2.422	24870.003	
06-Sep-2013	sub122	922	  2	 12	  1	 4.00	  9	  2	113.265	113.260	113.761	117.502	119.773	 3.737	24870.003	
06-Sep-2013	sub122	922	  2	 13	  1	 0.00	  6	  3	123.707	123.715	124.216	125.769	130.211	 1.547	24870.003	
06-Sep-2013	sub122	922	  2	 14	  1	 6.00	 12	  4	135.732	135.738	136.239	137.676	142.235	 1.419	24870.003	
06-Sep-2013	sub122	922	  2	 15	  1	 2.00	  7	  3	147.519	147.511	148.012	149.916	154.025	 1.902	24870.003	
06-Sep-2013	sub122	922	  2	 16	  1	 2.00	  7	  3	156.844	156.847	157.348	158.851	163.343	 1.486	24870.003	
06-Sep-2013	sub122	922	  2	 17	  1	 6.00	 12	  4	166.587	166.583	167.084	169.088	173.096	 1.998	24870.003	
06-Sep-2013	sub122	922	  2	 18	  1	 2.00	  7	  1	177.194	177.187	177.688	180.460	183.700	 2.770	24870.003	
06-Sep-2013	sub122	922	  2	 19	  1	 0.00	  6	  3	186.832	186.840	187.341	188.476	193.336	 1.133	24870.003	
06-Sep-2013	sub122	922	  2	 20	  1	 6.00	 12	  2	194.992	194.989	195.490	198.045	201.485	 2.544	24870.003	
06-Sep-2013	sub122	922	  2	 21	  1	 4.00	  9	  4	207.331	207.330	207.831	210.169	213.827	 2.331	24870.003	
06-Sep-2013	sub122	922	  2	 22	  1	 6.00	 12	  2	219.535	219.538	220.039	221.091	226.034	 1.043	24870.003	
06-Sep-2013	sub122	922	  2	 23	  1	 6.00	 12	  4	230.726	230.727	231.228	232.063	237.223	 0.822	24870.003	
06-Sep-2013	sub122	922	  2	 24	  1	 4.00	  9	  2	239.293	239.294	239.795	241.431	245.790	 1.632	24870.003	
06-Sep-2013	sub122	922	  2	 25	  1	 6.00	 12	  2	250.510	250.516	251.017	252.086	257.012	 1.065	24870.003	
06-Sep-2013	sub122	922	  2	 26	  1	 0.00	  6	  1	259.919	259.918	260.419	261.488	266.414	 1.055	24870.003	
06-Sep-2013	sub122	922	  2	 27	  1	 6.00	 12	  4	268.279	268.285	268.786	271.257	274.781	 2.457	24870.003	
