Sub 	 Ingroup_punish 	 Ingroup_nonpunish 	 Outgroup_punish 	 Outgroup_nonpunish 	 
MS_11_909	28.0000	44.0000	40.0000	32.0000	
MS_13_916	15.0000	57.0000	16.0000	56.0000	
MS_16_913	36.0000	36.0000	36.0000	36.0000	
MS_17_920	0.0000	72.0000	67.0000	5.0000	
MS_19_917	38.0000	34.0000	50.0000	22.0000	
MS_1_904_	36.0000	36.0000	38.0000	34.0000	
MS_21_924	18.0000	54.0000	71.0000	1.0000	
MS_24_921	12.0000	60.0000	68.0000	4.0000	
MS_26_928	36.0000	36.0000	37.0000	35.0000	
MS_28_925	17.0000	55.0000	18.0000	54.0000	
MS_30_932	17.0000	55.0000	18.0000	54.0000	
MS_32_929	37.0000	35.0000	37.0000	35.0000	
MS_34_940	0.0000	72.0000	0.0000	72.0000	
MS_36_933	50.0000	22.0000	60.0000	12.0000	
MS_39_937	41.0000	31.0000	50.0000	22.0000	
MS_3_901_	19.0000	53.0000	19.0000	53.0000	
MS_40_936	27.0000	45.0000	38.0000	34.0000	
MS_5_908_	38.0000	34.0000	69.0000	3.0000	
MS_8_905_	36.0000	36.0000	53.0000	19.0000	
MS_9_912_	15.0000	57.0000	42.0000	30.0000	
NA_10_915	49.0000	23.0000	47.0000	25.0000	
NA_10_915	2.0000	70.0000	64.0000	8.0000	
NA_12_910	35.0000	37.0000	35.0000	37.0000	
NA_12_910	15.0000	57.0000	20.0000	52.0000	
NA_14_914	20.0000	52.0000	46.0000	26.0000	
NA_14_914	21.0000	51.0000	29.0000	43.0000	
NA_15_911	35.0000	37.0000	37.0000	35.0000	
NA_15_911	0.0000	72.0000	0.0000	72.0000	
NA_18_923	48.0000	24.0000	46.0000	26.0000	
NA_18_923	27.0000	45.0000	57.0000	15.0000	
NA_20_918	33.0000	39.0000	72.0000	0.0000	
NA_20_918	34.0000	38.0000	59.0000	13.0000	
NA_22_922	37.0000	35.0000	53.0000	19.0000	
NA_22_922	18.0000	54.0000	71.0000	1.0000	
NA_23_919	42.0000	30.0000	42.0000	30.0000	
NA_23_919	41.0000	31.0000	47.0000	25.0000	
NA_25_931	66.0000	6.0000	70.0000	2.0000	
NA_25_931	0.0000	72.0000	66.0000	6.0000	
NA_27_926	2.0000	70.0000	65.0000	7.0000	
NA_27_926	50.0000	22.0000	45.0000	27.0000	
NA_29_930	36.0000	36.0000	48.0000	24.0000	
NA_29_930	29.0000	43.0000	32.0000	40.0000	
NA_2_907_	39.0000	33.0000	50.0000	22.0000	
NA_2_907_	53.0000	19.0000	50.0000	22.0000	
NA_31_927	3.0000	69.0000	60.0000	12.0000	
NA_31_927	32.0000	40.0000	35.0000	37.0000	
NA_33_939	47.0000	25.0000	52.0000	20.0000	
NA_33_939	51.0000	21.0000	49.0000	23.0000	
NA_35_935	40.0000	32.0000	39.0000	33.0000	
NA_35_935	26.0000	46.0000	47.0000	25.0000	
NA_37_934	27.0000	45.0000	28.0000	44.0000	
NA_37_934	52.0000	20.0000	54.0000	18.0000	
NA_38_938	5.0000	67.0000	62.0000	10.0000	
NA_38_938	36.0000	36.0000	39.0000	33.0000	
NA_4_902_	3.0000	69.0000	66.0000	6.0000	
NA_4_902_	59.0000	13.0000	54.0000	18.0000	
NA_6_906_	32.0000	40.0000	37.0000	35.0000	
NA_6_906_	54.0000	18.0000	54.0000	18.0000	
NA_7_903_	17.0000	55.0000	22.0000	50.0000	
NA_7_903_	35.0000	37.0000	35.0000	37.0000	
