Sub 	 Ingroup-120 	 Ingroup-93 	 Ingroup-75 	 Ingroup-66 	 Outgroup-120 	 Outgroup-93 	 Outgroup-75 	 Outgroup-66 	 
MS_11_909	3.2222	1.4444	0.0000	0.0000	5.8889	3.8889	0.4444	0.0000	
MS_13_916	3.3333	0.0000	0.0000	0.0000	3.5556	0.0000	0.0000	0.0000	
MS_16_913	6.0000	4.0000	0.0000	0.0000	6.0000	4.0000	0.0000	0.0000	
MS_17_920	0.0000	0.0000	0.0000	0.0000	3.7778	1.8889	1.7778	1.7778	
MS_19_917	4.3333	1.7778	0.5556	0.0000	5.4444	3.6667	1.6667	0.0000	
MS_1_904_	5.6667	1.8889	0.1111	0.0000	6.0000	2.0000	0.2222	0.0000	
MS_21_924	2.1111	0.1111	0.0000	0.0000	4.0000	2.0000	2.0000	1.8889	
MS_24_921	1.2222	0.0000	0.0000	0.1111	3.7778	2.0000	2.0000	1.8889	
MS_26_928	2.0000	2.0000	0.0000	0.0000	2.0000	2.0000	0.1111	0.0000	
MS_28_925	4.1111	0.0000	0.0000	0.0000	4.3333	0.2222	0.0000	0.0000	
MS_30_932	1.8889	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	
MS_32_929	5.8889	4.4444	0.1111	0.0000	5.6667	4.1111	0.2222	0.0000	
MS_34_940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
MS_36_933	4.7778	2.3333	2.0000	0.0000	5.6667	3.4444	3.0000	1.0000	
MS_39_937	5.7778	2.2222	0.6667	0.0000	4.5556	3.0000	1.6667	0.1111	
MS_3_901_	3.8889	0.0000	0.2222	0.0000	6.0000	0.0000	0.0000	0.3333	
MS_40_936	2.2222	0.8889	0.1111	0.0000	2.1111	2.0000	0.3333	0.0000	
MS_5_908_	3.3333	2.3333	0.3333	0.3333	6.0000	3.5556	3.6667	4.1111	
MS_8_905_	4.1111	2.0000	0.0000	0.0000	5.5556	3.8889	1.8889	0.0000	
MS_9_912_	1.3333	0.2222	0.1111	0.0000	3.1111	1.8889	0.6667	0.1111	
NA_10_915	6.0000	2.3333	1.4444	0.0000	5.8889	3.3333	1.2222	0.1111	
NA_10_915	0.0000	0.0000	0.3333	0.0000	4.4444	3.2222	1.5556	1.5556	
NA_12_910	6.0000	1.8889	0.0000	0.0000	5.6667	2.6667	0.0000	0.0000	
NA_12_910	3.6667	0.0000	0.0000	0.0000	6.0000	0.2222	0.0000	0.0000	
NA_14_914	2.0000	0.6667	0.6667	0.7778	3.7778	2.0000	2.0000	1.5556	
NA_14_914	1.8889	0.5556	0.0000	0.0000	2.8889	1.7778	0.0000	0.0000	
NA_15_911	3.8889	2.1111	0.1111	0.0000	4.2222	2.2222	0.1111	0.0000	
NA_15_911	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NA_18_923	4.7778	2.6667	1.2222	0.1111	4.3333	2.3333	1.6667	0.1111	
NA_18_923	1.5556	1.2222	0.2222	0.1111	3.8889	2.7778	2.3333	2.2222	
NA_20_918	1.7778	1.6667	0.3333	0.1111	6.0000	4.4444	2.5556	2.3333	
NA_20_918	3.3333	1.6667	0.2222	0.0000	5.3333	3.3333	1.6667	1.1111	
NA_22_922	3.7778	2.1111	0.6667	0.1111	5.0000	3.3333	1.7778	1.1111	
NA_22_922	2.2222	0.0000	0.0000	0.0000	4.0000	2.0000	1.8889	2.0000	
NA_23_919	1.1111	0.8889	1.6667	1.7778	1.4444	1.0000	0.7778	2.5556	
NA_23_919	4.5556	3.4444	1.4444	0.0000	5.3333	3.1111	1.8889	0.0000	
NA_25_931	3.4444	3.3333	2.5556	2.3333	4.6667	3.8889	3.7778	3.2222	
NA_25_931	0.0000	0.0000	0.0000	0.0000	5.5556	3.1111	2.0000	1.6667	
NA_27_926	0.2222	0.0000	0.0000	0.1111	5.5556	2.5556	2.6667	2.2222	
NA_27_926	6.0000	3.0000	1.6667	0.0000	5.3333	2.4444	1.4444	0.0000	
NA_29_930	4.1111	2.0000	0.0000	0.0000	5.8889	3.7778	1.2222	0.1111	
NA_29_930	1.6667	1.5556	0.0000	0.0000	1.7778	1.7778	0.0000	0.0000	
NA_2_907_	4.3333	2.1111	0.3333	0.0000	5.6667	3.1111	1.4444	0.1111	
NA_2_907_	6.0000	3.5556	2.0000	0.0000	5.6667	3.3333	2.0000	0.0000	
NA_31_927	0.1111	0.2222	0.0000	0.0000	2.3333	3.5556	1.6667	2.2222	
NA_31_927	5.3333	1.6667	0.1111	0.0000	5.6667	1.8889	0.1111	0.0000	
NA_33_939	6.0000	3.2222	1.3333	0.0000	6.0000	3.8889	1.8889	0.0000	
NA_33_939	5.6667	3.6667	2.2222	0.0000	5.0000	3.5556	1.8889	0.1111	
NA_35_935	2.7778	2.2222	0.5556	0.5556	2.8889	1.5556	0.4444	0.6667	
NA_35_935	2.2222	0.7778	0.3333	0.0000	4.0000	1.8889	1.4444	0.0000	
NA_37_934	2.7778	1.4444	0.0000	0.0000	3.2222	1.2222	0.0000	0.0000	
NA_37_934	6.0000	3.1111	2.0000	0.0000	6.0000	5.3333	3.8889	0.0000	
NA_38_938	0.4444	0.2222	0.1111	0.0000	5.0000	1.8889	1.8889	1.4444	
NA_38_938	6.0000	3.6667	0.0000	0.0000	6.0000	3.7778	0.3333	0.0000	
NA_4_902_	0.5556	0.1111	0.0000	0.0000	5.6667	4.8889	5.4444	5.0000	
NA_4_902_	3.2222	3.4444	3.8889	2.7778	1.2222	2.5556	1.6667	2.1111	
NA_6_906_	3.2222	1.8889	0.0000	0.0000	4.1111	2.2222	0.2222	0.0000	
NA_6_906_	6.0000	4.0000	2.0000	0.0000	6.0000	4.0000	2.0000	0.0000	
NA_7_903_	2.2222	0.0000	0.1111	0.0000	4.8889	0.4444	0.0000	0.0000	
NA_7_903_	4.1111	2.0000	0.0000	0.0000	5.5556	1.8889	0.0000	0.2222	
