Sub 	 Ingroup-120 	 Ingroup-93 	 Ingroup-75 	 Ingroup-66 	 Outgroup-120 	 Outgroup-93 	 Outgroup-75 	 Outgroup-66 	 
MS_11_909	0.9444	0.6111	0.0000	0.0000	1.0000	1.0000	0.2222	0.0000	
MS_13_916	0.8333	0.0000	0.0000	0.0000	0.8889	0.0000	0.0000	0.0000	
MS_16_913	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	
MS_17_920	0.0000	0.0000	0.0000	0.0000	1.0000	0.9444	0.8889	0.8889	
MS_19_917	1.0000	0.8889	0.2222	0.0000	0.9444	1.0000	0.8333	0.0000	
MS_1_904_	1.0000	0.9444	0.0556	0.0000	1.0000	1.0000	0.1111	0.0000	
MS_21_924	0.9444	0.0556	0.0000	0.0000	1.0000	1.0000	1.0000	0.9444	
MS_24_921	0.6111	0.0000	0.0000	0.0556	0.8889	0.9444	1.0000	0.9444	
MS_26_928	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	0.0556	0.0000	
MS_28_925	0.9444	0.0000	0.0000	0.0000	0.8889	0.1111	0.0000	0.0000	
MS_30_932	0.9444	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_32_929	1.0000	1.0000	0.0556	0.0000	0.9444	1.0000	0.1111	0.0000	
MS_34_940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
MS_36_933	0.8333	1.0000	0.9444	0.0000	0.9444	1.0000	1.0000	0.3889	
MS_39_937	1.0000	0.9444	0.3333	0.0000	0.8889	1.0000	0.8333	0.0556	
MS_3_901_	0.9444	0.0000	0.1111	0.0000	1.0000	0.0000	0.0000	0.0556	
MS_40_936	1.0000	0.4444	0.0556	0.0000	0.9444	1.0000	0.1667	0.0000	
MS_5_908_	0.9444	1.0000	0.1111	0.0556	1.0000	0.8889	0.9444	1.0000	
MS_8_905_	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	0.9444	0.0000	
MS_9_912_	0.6667	0.1111	0.0556	0.0000	1.0000	0.9444	0.3333	0.0556	
NA_10_915	1.0000	1.0000	0.7222	0.0000	1.0000	0.9444	0.6111	0.0556	
NA_10_915	0.0000	0.0000	0.1111	0.0000	1.0000	1.0000	0.7778	0.7778	
NA_12_910	1.0000	0.9444	0.0000	0.0000	0.9444	1.0000	0.0000	0.0000	
NA_12_910	0.8333	0.0000	0.0000	0.0000	1.0000	0.1111	0.0000	0.0000	
NA_14_914	0.5000	0.2222	0.1667	0.2222	0.9444	0.5556	0.6111	0.4444	
NA_14_914	0.8889	0.2778	0.0000	0.0000	0.7222	0.8889	0.0000	0.0000	
NA_15_911	0.9444	0.9444	0.0556	0.0000	1.0000	1.0000	0.0556	0.0000	
NA_15_911	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NA_18_923	1.0000	1.0000	0.6111	0.0556	0.8889	0.9444	0.6667	0.0556	
NA_18_923	0.7222	0.6111	0.1111	0.0556	0.9444	0.7778	0.7778	0.6667	
NA_20_918	0.8333	0.7778	0.1667	0.0556	1.0000	1.0000	1.0000	1.0000	
NA_20_918	1.0000	0.7778	0.1111	0.0000	1.0000	1.0000	0.7222	0.5556	
NA_22_922	0.7222	0.9444	0.3333	0.0556	0.8889	1.0000	0.8333	0.2222	
NA_22_922	1.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9444	1.0000	
NA_23_919	0.4444	0.3333	0.7778	0.7778	0.5556	0.3889	0.3889	1.0000	
NA_23_919	0.7778	0.8333	0.6667	0.0000	0.8889	0.7778	0.9444	0.0000	
NA_25_931	0.8333	1.0000	0.8889	0.9444	1.0000	0.8889	1.0000	1.0000	
NA_25_931	0.0000	0.0000	0.0000	0.0000	0.9444	0.9444	0.9444	0.8333	
NA_27_926	0.0556	0.0000	0.0000	0.0556	1.0000	0.9444	1.0000	0.6667	
NA_27_926	1.0000	0.9444	0.8333	0.0000	0.8889	0.8889	0.7222	0.0000	
NA_29_930	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	0.6111	0.0556	
NA_29_930	0.8333	0.7778	0.0000	0.0000	0.8889	0.8889	0.0000	0.0000	
NA_2_907_	1.0000	1.0000	0.1667	0.0000	1.0000	1.0000	0.7222	0.0556	
NA_2_907_	1.0000	0.9444	1.0000	0.0000	0.9444	0.8333	1.0000	0.0000	
NA_31_927	0.0556	0.1111	0.0000	0.0000	0.5000	1.0000	0.8333	1.0000	
NA_31_927	0.8889	0.8333	0.0556	0.0000	0.9444	0.9444	0.0556	0.0000	
NA_33_939	1.0000	0.9444	0.6667	0.0000	1.0000	1.0000	0.8889	0.0000	
NA_33_939	0.9444	1.0000	0.8889	0.0000	0.8333	0.9444	0.8889	0.0556	
NA_35_935	0.8333	0.9444	0.2778	0.1667	0.8333	0.7778	0.2222	0.3333	
NA_35_935	1.0000	0.3889	0.0556	0.0000	1.0000	0.9444	0.6667	0.0000	
NA_37_934	0.8889	0.6111	0.0000	0.0000	0.9444	0.6111	0.0000	0.0000	
NA_37_934	1.0000	0.8889	1.0000	0.0000	1.0000	1.0000	1.0000	0.0000	
NA_38_938	0.1111	0.1111	0.0556	0.0000	0.8889	0.8889	0.9444	0.7222	
NA_38_938	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	0.1667	0.0000	
NA_4_902_	0.1111	0.0556	0.0000	0.0000	0.9444	0.8333	0.9444	0.9444	
NA_4_902_	0.7778	0.8333	0.9444	0.7222	0.6111	0.8333	0.7778	0.7778	
NA_6_906_	0.8889	0.8889	0.0000	0.0000	1.0000	0.9444	0.1111	0.0000	
NA_6_906_	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	0.0000	
NA_7_903_	0.8889	0.0000	0.0556	0.0000	1.0000	0.2222	0.0000	0.0000	
NA_7_903_	1.0000	0.9444	0.0000	0.0000	1.0000	0.8889	0.0000	0.0556	
