Sub 	 Ingroup-120 	 Ingroup-93 	 Ingroup-75 	 Ingroup-66 	 Outgroup-120 	 Outgroup-93 	 Outgroup-75 	 Outgroup-66 	 
MS_11_909	2.5859	3.0397	1.6939	1.4607	1.8118	2.4914	2.1510	1.7273	
MS_13_916	1.6798	1.2889	1.3854	1.4942	1.3748	1.5976	1.4933	1.3075	
MS_16_913	1.1676	2.0168	1.4364	1.2528	1.2243	1.5915	1.3303	1.0865	
MS_17_920	1.8366	1.5152	1.3895	1.5466	2.7146	2.4843	2.2397	2.2432	
MS_19_917	2.8177	3.3642	2.3456	1.3776	2.0682	2.7327	3.1977	1.9701	
MS_1_904_	2.4521	2.7303	2.0020	1.9858	2.5025	2.5231	2.1082	1.7299	
MS_21_924	1.6994	1.5991	1.1424	1.0926	1.5034	1.5556	1.5171	1.3072	
MS_24_921	1.6253	1.3500	1.2617	1.2873	1.6770	2.3358	1.5391	1.3956	
MS_26_928	1.4339	1.7150	1.0331	1.0941	1.4052	1.5861	1.2579	1.2151	
MS_28_925	1.9222	2.1775	1.9392	1.1946	1.7648	1.9982	1.4349	1.9615	
MS_30_932	1.0569	0.8524	0.8769	1.0611	1.1301	0.8754	0.9092	1.0585	
MS_32_929	1.5757	2.6089	1.5441	1.3486	1.2663	2.2377	1.6914	1.1778	
MS_34_940	0.7640	0.8253	0.7634	0.7027	0.7228	0.6949	0.8423	0.6947	
MS_36_933	1.5030	1.3807	1.2378	1.1016	1.2752	1.3418	1.4076	1.8741	
MS_39_937	1.5719	1.3792	1.2152	1.4064	1.0879	1.8276	1.2095	1.4098	
MS_3_901_	2.5128	2.5118	2.3357	1.6279	2.6658	2.5882	2.1687	1.7994	
MS_40_936	1.5598	1.9764	1.2296	0.8243	1.2149	1.5124	1.5951	0.8456	
MS_5_908_	2.5395	2.3532	1.9317	1.5279	1.4471	2.0033	2.4414	2.2500	
MS_8_905_	1.8086	1.7399	1.1222	0.9148	1.4795	2.0643	1.7281	0.9438	
MS_9_912_	1.9198	1.8952	1.4542	0.9652	2.1568	1.6997	2.0384	1.5563	
NA_10_915	1.8838	2.2527	2.1506	1.0840	1.6456	1.9926	1.6652	1.3180	
NA_10_915	1.4676	1.4408	1.8882	1.3792	2.3371	2.6595	1.9688	1.9644	
NA_12_910	1.3531	1.7010	0.9896	1.1759	1.2367	1.6908	1.1215	1.0327	
NA_12_910	2.4717	2.1797	2.1157	1.8501	2.0965	2.7666	1.8423	1.8931	
NA_14_914	1.9313	1.6302	1.5706	1.4559	1.8913	2.1626	1.8212	2.0206	
NA_14_914	2.1942	2.2533	1.8663	1.4808	1.5706	2.2136	1.7213	1.7967	
NA_15_911	1.6514	2.0901	1.0344	1.0206	1.4018	1.8415	0.9160	0.9547	
