Sub 	 in_12_0 	  in_12_2 	  in_12_4 	  in_12_6  	 in_9_0 	  in_9_2 	  in_9_4 	  in_9_6 	 in_7_0 	  in_7_2 	  in_7_4 	  in_7_6 	 in_6_0 	  in_6_2 	  in_6_4 	  in_6_6 	  out_12_0 	  out_12_2 	  out_12_4 	  out_12_6  	 out_9_0 	  out_9_2 	  out_9_4 	  out_9_6 	 out_7_0 	  out_7_2 	  out_7_4 	  out_7_6 	 out_6_0 	  out_6_2 	  out_6_4 	  out_6_6  
MS_11_	0.0556	0.3333	0.5556	0.0556	0.3889	0.5000	0.1111	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0556	0.9444	0.0000	0.0556	0.9444	0.0000	0.7778	0.2222	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_13_	0.1667	0.0000	0.8333	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.1111	0.0000	0.8889	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_16_	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_17_	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.1111	0.8889	0.0000	0.0556	0.9444	0.0000	0.0000	0.1111	0.8889	0.0000	0.0000	0.1111	0.8889	0.0000	0.0000	
MS_19_	0.0000	0.2222	0.3889	0.3889	0.1111	0.8889	0.0000	0.0000	0.7778	0.1667	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.1111	0.8333	0.0000	0.1667	0.8333	0.0000	0.1667	0.8333	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_1_9	0.0000	0.0000	0.1667	0.8333	0.0556	0.9444	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000	0.8889	0.1111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_21_	0.0556	0.8333	0.1111	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0556	0.9444	0.0000	0.0000	
MS_24_	0.3889	0.6111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	0.1111	0.0000	0.7778	0.1111	0.0556	0.8889	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0556	0.9444	0.0000	0.0000	
MS_26_	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_28_	0.0556	0.0000	0.7778	0.1667	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.1111	0.0556	0.3889	0.4444	0.8889	0.1111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
