subjid,offer_propoer,offer_recipt,choice,conds,in_outgroup,trial
9151,6,6,1,3,2,1
9151,6,6,1,1,1,2
9151,9,3,2,2,1,3
9151,12,0,4,4,2,4
9151,7,5,2,1,1,5
9151,9,3,2,4,2,6
9151,12,0,4,2,1,7
9151,12,0,4,4,2,8
9151,7,5,2,3,2,9
9151,9,3,3,4,2,10
9151,12,0,4,4,2,11
9151,9,3,3,2,1,12
9151,7,5,2,1,1,13
9151,12,0,4,4,2,14
9151,12,0,4,2,1,15
9151,7,5,1,3,2,16
9151,6,6,1,1,1,17
9151,9,3,3,4,2,18
9151,6,6,1,1,1,19
9151,6,6,1,3,2,20
9151,12,0,4,2,1,21
9151,12,0,4,4,2,22
9151,7,5,2,1,1,23
9151,9,3,3,2,1,24
9151,9,3,3,4,2,25
9151,7,5,2,3,2,26
9151,7,5,2,1,1,27
9151,6,6,1,3,2,28
9151,9,3,3,4,2,29
9151,9,3,2,2,1,30
9151,12,0,4,2,1,31
9151,12,0,4,4,2,32
9151,9,3,3,4,2,33
9151,9,3,2,4,2,34
9151,7,5,1,1,1,35
9151,7,5,2,3,2,36
9151,9,3,3,2,1,37
9151,6,6,1,3,2,38
9151,9,3,3,2,1,39
9151,6,6,1,1,1,40
9151,7,5,2,1,1,41
9151,7,5,1,3,2,42
9151,6,6,1,1,1,43
9151,7,5,2,3,2,44
9151,12,0,4,4,2,45
9151,6,6,1,1,1,46
9151,6,6,1,3,2,47
9151,9,3,3,4,2,48
9151,12,0,4,2,1,49
9151,9,3,3,2,1,50
9151,6,6,1,1,1,51
9151,7,5,2,1,1,52
9151,6,6,1,1,1,53
9151,12,0,4,2,1,54
9151,12,0,4,4,2,55
9151,6,6,1,3,2,56
9151,7,5,2,3,2,57
9151,9,3,2,2,1,58
9151,6,6,1,1,1,59
9151,12,0,4,2,1,60
9151,7,5,2,3,2,61
9151,9,3,3,4,2,62
9151,7,5,2,1,1,63
9151,12,0,4,2,1,64
9151,6,6,1,3,2,65
9151,7,5,2,3,2,66
9151,9,3,2,2,1,67
9151,6,6,1,3,2,68
9151,12,0,4,2,1,69
9151,6,6,1,3,2,70
9151,12,0,4,4,2,71
9151,7,5,1,1,1,72
9151,9,3,3,2,1,1
9151,7,5,1,3,2,2
9151,6,6,1,1,1,3
9151,12,0,4,2,1,4
9151,7,5,1,1,1,5
9151,6,6,1,1,1,6
9151,6,6,1,3,2,7
9151,12,0,4,2,1,8
9151,7,5,1,3,2,9
9151,9,3,3,4,2,10
9151,9,3,3,4,2,11
9151,9,3,2,2,1,12
9151,6,6,1,3,2,13
9151,12,0,4,4,2,14
9151,7,5,2,3,2,15
9151,7,5,2,3,2,16
9151,12,0,4,4,2,17
9151,7,5,2,1,1,18
9151,6,6,1,3,2,19
9151,12,0,4,2,1,20
9151,9,3,3,4,2,21
9151,12,0,4,2,1,22
9151,12,0,4,4,2,23
9151,9,3,2,2,1,24
9151,12,0,4,2,1,25
9151,6,6,1,1,1,26
9151,12,0,3,4,2,27
9151,12,0,4,2,1,28
9151,6,6,1,3,2,29
9151,6,6,1,1,1,30
9151,6,6,1,3,2,31
9151,9,3,3,4,2,32
9151,7,5,1,1,1,33
9151,9,3,3,4,2,34
9151,9,3,2,2,1,35
9151,12,0,4,4,2,36
9151,7,5,2,3,2,37
9151,9,3,3,4,2,38
9151,6,6,1,3,2,39
9151,7,5,1,3,2,40
9151,6,6,1,1,1,41
9151,12,0,4,2,1,42
9151,7,5,1,1,1,43
9151,12,0,4,4,2,44
9151,9,3,3,4,2,45
9151,7,5,2,1,1,46
9151,9,3,2,2,1,47
9151,9,3,2,2,1,48
9151,12,0,4,4,2,49
9151,6,6,1,1,1,50
9151,6,6,1,1,1,51
9151,9,3,3,2,1,52
9151,7,5,2,1,1,53
9151,6,6,1,3,2,54
9151,12,0,4,2,1,55
9151,6,6,1,1,1,56
9151,12,0,4,4,2,57
9151,9,3,3,4,2,58
9151,7,5,2,1,1,59
9151,7,5,2,3,2,60
9151,12,0,4,4,2,61
9151,6,6,1,3,2,62
9151,6,6,1,1,1,63
9151,9,3,2,2,1,64
9151,7,5,2,3,2,65
9151,9,3,3,4,2,66
9151,9,3,2,2,1,67
9151,6,6,1,3,2,68
9151,12,0,4,2,1,69
9151,7,5,2,1,1,70
9151,7,5,2,1,1,71
9151,7,5,2,3,2,144
9101,6,6,1,3,2,1
9101,6,6,1,1,1,2
9101,9,3,2,2,1,3
9101,12,0,4,4,2,4
9101,7,5,1,1,1,5
9101,9,3,2,4,2,6
9101,12,0,4,2,1,7
9101,12,0,4,4,2,8
9101,7,5,1,3,2,9
9101,9,3,3,4,2,10
9101,12,0,4,4,2,11
9101,9,3,2,2,1,12
9101,7,5,1,1,1,13
9101,12,0,4,4,2,14
9101,12,0,4,2,1,15
9101,7,5,1,3,2,16
9101,6,6,1,1,1,17
9101,9,3,2,4,2,18
9101,6,6,1,1,1,19
9101,6,6,1,3,2,20
9101,12,0,4,2,1,21
9101,12,0,4,4,2,22
9101,7,5,1,1,1,23
9101,9,3,2,2,1,24
9101,9,3,2,4,2,25
9101,7,5,1,3,2,26
9101,7,5,1,1,1,27
9101,6,6,1,3,2,28
9101,9,3,2,4,2,29
9101,9,3,2,2,1,30
9101,12,0,4,2,1,31
9101,12,0,4,4,2,32
9101,9,3,2,4,2,33
9101,9,3,2,4,2,34
9101,7,5,1,1,1,35
9101,7,5,1,3,2,36
9101,9,3,2,2,1,37
9101,6,6,1,3,2,38
9101,9,3,2,2,1,39
9101,6,6,1,1,1,40
9101,7,5,1,1,1,41
9101,7,5,1,3,2,42
9101,6,6,1,1,1,43
9101,7,5,1,3,2,44
9101,12,0,4,4,2,45
9101,6,6,1,1,1,46
9101,6,6,1,3,2,47
9101,9,3,2,4,2,48
9101,12,0,4,2,1,49
9101,9,3,2,2,1,50
9101,6,6,1,1,1,51
9101,7,5,1,1,1,52
9101,6,6,1,1,1,53
9101,12,0,4,2,1,54
9101,12,0,4,4,2,55
9101,6,6,1,3,2,56
9101,7,5,1,3,2,57
9101,9,3,2,2,1,58
9101,6,6,1,1,1,59
9101,12,0,4,2,1,60
9101,7,5,1,3,2,61
9101,9,3,3,4,2,62
9101,7,5,1,1,1,63
9101,12,0,4,2,1,64
9101,6,6,1,3,2,65
9101,7,5,1,3,2,66
9101,9,3,2,2,1,67
9101,6,6,1,3,2,68
9101,12,0,4,2,1,69
9101,6,6,1,3,2,70
9101,12,0,4,4,2,71
9101,7,5,1,1,1,72
9101,9,3,2,2,1,1
9101,7,5,1,3,2,2
9101,6,6,1,1,1,3
9101,12,0,4,2,1,4
9101,7,5,1,1,1,5
9101,6,6,1,1,1,6
9101,6,6,1,3,2,7
9101,12,0,4,2,1,8
9101,7,5,1,3,2,9
9101,9,3,3,4,2,10
9101,9,3,2,4,2,11
9101,9,3,2,2,1,12
9101,6,6,1,3,2,13
9101,12,0,4,4,2,14
9101,7,5,1,3,2,15
9101,7,5,1,3,2,16
9101,12,0,4,4,2,17
9101,7,5,1,1,1,18
9101,6,6,1,3,2,19
9101,12,0,4,2,1,20
9101,9,3,2,4,2,21
9101,12,0,4,2,1,22
9101,12,0,4,4,2,23
9101,9,3,2,2,1,24
9101,12,0,4,2,1,25
9101,6,6,1,1,1,26
9101,12,0,4,4,2,27
9101,12,0,4,2,1,28
9101,6,6,1,3,2,29
9101,6,6,1,1,1,30
9101,6,6,1,3,2,31
9101,9,3,2,4,2,32
9101,7,5,1,1,1,33
9101,9,3,2,4,2,34
9101,9,3,2,2,1,35
9101,12,0,4,4,2,36
9101,7,5,1,3,2,37
9101,9,3,2,4,2,38
9101,6,6,1,3,2,39
9101,7,5,1,3,2,40
9101,6,6,1,1,1,41
9101,12,0,4,2,1,42
9101,7,5,1,1,1,43
9101,12,0,4,4,2,44
9101,9,3,2,4,2,45
9101,7,5,1,1,1,46
9101,9,3,2,2,1,47
9101,9,3,2,2,1,48
9101,12,0,4,4,2,49
9101,6,6,1,1,1,50
9101,6,6,1,1,1,51
9101,9,3,2,2,1,52
9101,7,5,1,1,1,53
9101,6,6,1,3,2,54
9101,12,0,4,2,1,55
9101,6,6,1,1,1,56
9101,12,0,4,4,2,57
9101,9,3,2,4,2,58
9101,7,5,1,1,1,59
9101,7,5,1,3,2,60
9101,12,0,4,4,2,61
9101,6,6,1,3,2,62
9101,6,6,1,1,1,63
9101,9,3,2,2,1,64
9101,7,5,1,3,2,65
9101,9,3,2,4,2,66
9101,9,3,2,2,1,67
9101,6,6,1,3,2,68
9101,12,0,4,2,1,69
9101,7,5,1,1,1,70
9101,7,5,1,1,1,71
9101,7,5,1,3,2,72
9141,9,3,2,2,1,1
9141,7,5,2,3,2,2
9141,6,6,1,1,1,3
9141,12,0,1,2,1,4
9141,7,5,2,1,1,5
9141,6,6,1,1,1,6
9141,6,6,1,3,2,7
9141,12,0,1,2,1,8
9141,7,5,4,3,2,9
9141,9,3,2,4,2,10
9141,9,3,2,4,2,11
9141,9,3,2,2,1,12
9141,6,6,1,3,2,13
9141,12,0,3,4,2,14
9141,7,5,1,3,2,15
9141,7,5,1,3,2,16
9141,12,0,3,4,2,17
9141,7,5,1,1,1,18
9141,6,6,2,3,2,19
9141,12,0,3,2,1,20
9141,9,3,2,4,2,21
9141,12,0,1,2,1,22
9141,12,0,3,4,2,23
9141,9,3,2,2,1,24
9141,12,0,4,2,1,25
9141,6,6,1,1,1,26
9141,12,0,4,4,2,27
9141,12,0,2,2,1,28
9141,6,6,1,3,2,29
9141,6,6,2,1,1,30
9141,6,6,1,3,2,31
9141,9,3,1,4,2,32
9141,7,5,1,1,1,33
9141,9,3,2,4,2,34
9141,9,3,2,2,1,35
9141,12,0,4,4,2,36
9141,7,5,1,3,2,37
9141,9,3,2,4,2,38
9141,6,6,1,3,2,39
9141,7,5,1,3,2,40
9141,6,6,1,1,1,41
9141,12,0,3,2,1,42
9141,7,5,1,1,1,43
9141,12,0,3,4,2,44
9141,9,3,1,4,2,45
9141,7,5,3,1,1,46
9141,9,3,1,2,1,47
9141,9,3,1,2,1,48
9141,12,0,2,4,2,49
9141,6,6,1,1,1,50
9141,6,6,1,1,1,51
9141,9,3,1,2,1,52
9141,7,5,3,1,1,53
9141,6,6,3,3,2,54
9141,12,0,1,2,1,55
9141,6,6,1,1,1,56
9141,12,0,2,4,2,57
9141,9,3,2,4,2,58
9141,7,5,1,1,1,59
9141,7,5,3,3,2,60
9141,12,0,3,4,2,61
9141,6,6,4,3,2,62
9141,6,6,1,1,1,63
9141,9,3,2,2,1,64
9141,7,5,2,3,2,65
9141,9,3,2,4,2,66
9141,9,3,2,2,1,67
9141,6,6,1,3,2,68
9141,12,0,1,2,1,69
9141,7,5,1,1,1,70
9141,7,5,4,1,1,71
9141,7,5,1,3,2,72
9141,6,6,1,3,2,1
9141,6,6,1,1,1,2
9141,9,3,3,2,1,3
9141,12,0,3,4,2,4
9141,7,5,1,1,1,5
9141,9,3,2,4,2,6
9141,12,0,2,2,1,7
9141,12,0,4,4,2,8
9141,7,5,1,3,2,9
9141,9,3,3,4,2,10
9141,12,0,3,4,2,11
9141,9,3,1,2,1,12
9141,7,5,1,1,1,13
9141,12,0,3,4,2,14
9141,12,0,2,2,1,15
9141,7,5,1,3,2,16
9141,6,6,1,1,1,17
9141,9,3,1,4,2,18
9141,6,6,1,1,1,19
9141,6,6,1,3,2,20
9141,12,0,1,2,1,21
9141,12,0,2,4,2,22
9141,7,5,1,1,1,23
9141,9,3,1,2,1,24
9141,9,3,3,4,2,25
9141,7,5,4,3,2,26
9141,7,5,2,1,1,27
9141,6,6,1,3,2,28
9141,9,3,2,4,2,29
9141,9,3,1,2,1,30
9141,12,0,4,2,1,31
9141,12,0,4,4,2,32
9141,9,3,3,4,2,33
9141,9,3,1,4,2,34
9141,7,5,1,1,1,35
9141,7,5,1,3,2,36
9141,9,3,1,2,1,37
9141,6,6,1,3,2,38
9141,9,3,1,2,1,39
9141,6,6,1,1,1,40
9141,7,5,1,1,1,41
9141,7,5,1,3,2,42
9141,6,6,1,1,1,43
9141,7,5,1,3,2,44
9141,12,0,3,4,2,45
9141,6,6,1,1,1,46
9141,6,6,1,3,2,47
9141,9,3,1,4,2,48
9141,12,0,1,2,1,49
9141,9,3,1,2,1,50
9141,6,6,1,1,1,51
9141,7,5,1,1,1,52
9141,6,6,1,1,1,53
9141,12,0,3,2,1,54
9141,12,0,3,4,2,55
9141,6,6,3,3,2,56
9141,7,5,1,3,2,57
9141,9,3,1,2,1,58
9141,6,6,1,1,1,59
9141,12,0,2,2,1,60
9141,7,5,2,3,2,61
9141,9,3,2,4,2,62
9141,7,5,1,1,1,63
9141,12,0,1,2,1,64
9141,6,6,1,3,2,65
9141,7,5,1,3,2,66
9141,9,3,1,2,1,67
9141,6,6,1,3,2,68
9141,12,0,2,2,1,69
9141,6,6,2,3,2,70
9141,12,0,3,4,2,71
9141,7,5,2,1,1,144
9111,6,6,1,3,2,1
9111,6,6,1,1,1,2
9111,9,3,2,2,1,3
9111,12,0,3,4,2,4
9111,7,5,1,1,1,5
9111,9,3,2,4,2,6
9111,12,0,3,2,1,7
9111,12,0,3,4,2,8
9111,7,5,1,3,2,9
9111,9,3,2,4,2,10
9111,12,0,3,4,2,11
9111,9,3,2,2,1,12
9111,7,5,1,1,1,13
9111,12,0,4,4,2,14
9111,12,0,3,2,1,15
9111,7,5,1,3,2,16
9111,6,6,1,1,1,17
9111,9,3,2,4,2,18
9111,6,6,1,1,1,19
9111,6,6,1,3,2,20
9111,12,0,3,2,1,21
9111,12,0,3,4,2,22
9111,7,5,1,1,1,23
9111,9,3,2,2,1,24
9111,9,3,2,4,2,25
9111,7,5,1,3,2,26
9111,7,5,1,1,1,27
9111,6,6,1,3,2,28
9111,9,3,2,4,2,29
9111,9,3,2,2,1,30
9111,12,0,3,2,1,31
9111,12,0,3,4,2,32
9111,9,3,2,4,2,33
9111,9,3,2,4,2,34
9111,7,5,1,1,1,35
9111,7,5,1,3,2,36
9111,9,3,2,2,1,37
9111,6,6,1,3,2,38
9111,9,3,2,2,1,39
9111,6,6,1,1,1,40
9111,7,5,1,1,1,41
9111,7,5,1,3,2,42
9111,6,6,1,1,1,43
9111,7,5,1,3,2,44
9111,12,0,3,4,2,45
9111,6,6,1,1,1,46
9111,6,6,1,3,2,47
9111,9,3,2,4,2,48
9111,12,0,3,2,1,49
9111,9,3,2,2,1,50
9111,6,6,1,1,1,51
9111,7,5,2,1,1,52
9111,6,6,1,1,1,53
9111,12,0,3,2,1,54
9111,12,0,3,4,2,55
9111,6,6,1,3,2,56
9111,7,5,1,3,2,57
9111,9,3,2,2,1,58
9111,6,6,1,1,1,59
9111,12,0,3,2,1,60
9111,7,5,1,3,2,61
9111,9,3,2,4,2,62
9111,7,5,1,1,1,63
9111,12,0,3,2,1,64
9111,6,6,1,3,2,65
9111,7,5,1,3,2,66
9111,9,3,2,2,1,67
9111,6,6,1,3,2,68
9111,12,0,3,2,1,69
9111,6,6,1,3,2,70
9111,12,0,4,4,2,71
9111,7,5,1,1,1,72
9111,9,3,2,2,1,1
9111,7,5,1,3,2,2
9111,6,6,1,1,1,3
