subid,gender,trial,run,choice_raw,offer_propoer,conds,RT,offer_recipt,choice,in_outgroup
9151,2,1,1,0,6,3,2.461,6,1,2
9151,2,2,1,0,6,1,1.662,6,1,1
9151,2,3,1,2,9,2,3.152,3,2,1
9151,2,4,1,4,12,4,4.354,0,3,2
9151,2,5,1,2,7,1,3.249,5,2,1
9151,2,6,1,4,9,4,2.355,3,3,2
9151,2,7,1,6,12,2,4.602,0,4,1
9151,2,8,1,6,12,4,2.736,0,4,2
9151,2,9,1,0,7,3,3.545,5,1,2
9151,2,10,1,2,9,4,2.113,3,2,2
9151,2,11,1,6,12,4,2.392,0,4,2
9151,2,12,1,2,9,2,2.949,3,2,1
9151,2,13,1,2,7,1,1.628,5,2,1
9151,2,14,1,6,12,4,1.454,0,4,2
9151,2,15,1,6,12,2,1.906,0,4,1
9151,2,16,1,0,7,3,1.33,5,1,2
9151,2,17,1,0,6,1,1.799,6,1,1
9151,2,18,1,4,9,4,2.958,3,3,2
9151,2,19,1,0,6,1,1.429,6,1,1
9151,2,20,1,2,6,3,3.402,6,2,2
9151,2,21,1,6,12,2,3.587,0,4,1
9151,2,22,1,6,12,4,1.563,0,4,2
9151,2,23,1,2,7,1,1.832,5,2,1
9151,2,24,1,2,9,2,2.952,3,2,1
9151,2,25,1,2,9,4,1.298,3,2,2
9151,2,26,1,2,7,3,2.553,5,2,2
9151,2,27,1,0,7,1,2.576,5,1,1
9151,2,28,1,0,6,3,1.431,6,1,2
9151,2,29,1,2,9,4,2.215,3,2,2
9151,2,30,1,2,9,2,2.055,3,2,1
9151,2,31,1,6,12,2,2.524,0,4,1
9151,2,32,1,6,12,4,1.348,0,4,2
9151,2,33,1,4,9,4,2.229,3,3,2
9151,2,34,1,4,9,4,1.133,3,3,2
9151,2,35,1,2,7,1,3.538,5,2,1
9151,2,36,1,2,7,3,1.585,5,2,2
9151,2,37,1,2,9,2,3.076,3,2,1
9151,2,38,1,0,6,3,0.983,6,1,2
9151,2,39,1,2,9,2,1.346,3,2,1
9151,2,40,1,0,6,1,0.943,6,1,1
9151,2,41,1,2,7,1,1.554,5,2,1
9151,2,42,1,2,7,3,2.134,5,2,2
9151,2,43,1,0,6,1,1.124,6,1,1
9151,2,44,1,2,7,3,1.159,5,2,2
9151,2,45,1,6,12,4,1.25,0,4,2
9151,2,46,1,0,6,1,0.915,6,1,1
9151,2,47,1,0,6,3,0.682,6,1,2
9151,2,48,1,4,9,4,2.476,3,3,2
9151,2,49,1,6,12,2,1.256,0,4,1
9151,2,50,1,2,9,2,1.964,3,2,1
9151,2,51,1,0,6,1,0.944,6,1,1
9151,2,52,1,2,7,1,1.829,5,2,1
9151,2,53,1,0,6,1,0.792,6,1,1
9151,2,54,1,6,12,2,1.244,0,4,1
9151,2,55,1,6,12,4,1.238,0,4,2
9151,2,56,1,0,6,3,0.955,6,1,2
9151,2,57,1,2,7,3,1.882,5,2,2
9151,2,58,1,2,9,2,1.832,3,2,1
9151,2,59,1,0,6,1,0.89,6,1,1
9151,2,60,1,6,12,2,1.412,0,4,1
9151,2,61,1,0,7,3,1.761,5,1,2
9151,2,62,1,2,9,4,1.202,3,2,2
9151,2,63,1,2,7,1,1.733,5,2,1
9151,2,64,1,6,12,2,2.166,0,4,1
9151,2,65,1,0,6,3,1.082,6,1,2
9151,2,67,1,2,9,2,1.572,3,2,1
9151,2,68,1,0,6,3,0.922,6,1,2
9151,2,69,1,6,12,2,1.233,0,4,1
9151,2,70,1,0,6,3,0.814,6,1,2
9151,2,71,1,6,12,4,1.198,0,4,2
9151,2,72,1,0,7,1,1.103,5,1,1
9151,2,1,2,2,9,2,2.179,3,2,1
9151,2,2,2,2,7,3,1.113,5,2,2
9151,2,3,2,0,6,1,0.846,6,1,1
9151,2,4,2,6,12,2,1.656,0,4,1
9151,2,5,2,2,7,1,1.156,5,2,1
9151,2,6,2,0,6,1,0.979,6,1,1
9151,2,7,2,0,6,3,1.928,6,1,2
