Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
23-Nov-2017	sub237	934	  1	  1	  1	 2.00	  9	  2	 0.000	 0.018	 0.499	 5.970	 6.501	 5.464	27440.781	
23-Nov-2017	sub237	934	  1	  2	  1	 4.00	  7	  3	 8.270	 8.274	 8.772	14.110	14.773	 5.328	27440.781	
23-Nov-2017	sub237	934	  1	  3	  1	 0.00	  6	  1	20.015	20.012	20.509	22.101	26.511	 1.590	27440.781	
23-Nov-2017	sub237	934	  1	  4	  1	 6.00	 12	  2	32.169	32.164	32.645	36.342	38.663	 3.678	27440.781	
23-Nov-2017	sub237	934	  1	  5	  1	 2.00	  7	  1	44.110	44.118	44.615	48.064	50.617	 3.443	27440.781	
23-Nov-2017	sub237	934	  1	  6	  1	 0.00	  6	  1	55.939	55.938	56.436	57.779	62.437	 1.334	27440.781	
23-Nov-2017	sub237	934	  1	  7	  1	 0.00	  6	  3	69.027	69.036	69.533	71.754	75.534	 2.205	27440.781	
23-Nov-2017	sub237	934	  1	  8	  1	 6.00	 12	  2	78.047	78.054	78.552	81.453	84.553	 2.890	27440.781	
23-Nov-2017	sub237	934	  1	  9	  1	 4.00	  7	  3	86.913	86.907	87.421	89.328	93.406	 1.892	27440.781	
23-Nov-2017	sub237	934	  1	 10	  1	 6.00	  9	  4	95.596	95.595	96.092	97.766	102.093	 1.669	27440.781	
23-Nov-2017	sub237	934	  1	 11	  1	 6.00	  9	  4	104.158	104.166	104.663	106.918	110.665	 2.241	27440.781	
23-Nov-2017	sub237	934	  1	 12	  1	 2.00	  9	  2	113.265	113.268	113.765	116.550	119.766	 2.772	27440.781	
23-Nov-2017	sub237	934	  1	 13	  1	 0.00	  6	  3	123.707	123.712	124.209	128.437	130.211	 4.223	27440.781	
23-Nov-2017	sub237	934	  1	 14	  1	 6.00	 12	  4	135.732	135.732	136.229	139.064	142.231	 2.827	27440.781	
23-Nov-2017	sub237	934	  1	 15	  1	 4.00	  7	  3	147.519	147.519	148.016	151.946	154.018	 3.919	27440.781	
23-Nov-2017	sub237	934	  1	 16	  1	 4.00	  7	  3	156.844	156.853	157.350	160.086	163.352	 2.721	27440.781	
23-Nov-2017	sub237	934	  1	 17	  1	 6.00	 12	  4	166.587	166.585	167.082	168.160	173.083	 1.060	27440.781	
23-Nov-2017	sub237	934	  1	 18	  1	 2.00	  7	  1	177.194	177.195	177.692	181.273	183.694	 3.570	27440.781	
23-Nov-2017	sub237	934	  1	 19	  1	 0.00	  6	  3	186.832	186.827	187.324	189.463	193.326	 2.121	27440.781	
23-Nov-2017	sub237	934	  1	 20	  1	 6.00	 12	  2	194.992	195.001	195.498	199.228	201.499	 3.716	27440.781	
23-Nov-2017	sub237	934	  1	 21	  1	 6.00	  9	  4	207.331	207.335	207.832	212.309	213.834	 4.461	27440.781	
23-Nov-2017	sub237	934	  1	 22	  1	 6.00	 12	  2	219.535	219.537	220.034	222.538	226.036	 2.491	27440.781	
23-Nov-2017	sub237	934	  1	 23	  1	 6.00	 12	  4	230.726	230.728	231.225	233.347	237.226	 2.108	27440.781	
23-Nov-2017	sub237	934	  1	 24	  1	 0.00	  9	  2	239.293	239.299	239.796	 0.000	245.798	 0.000	27440.781	
23-Nov-2017	sub237	934	  1	 25	  1	 6.00	 12	  2	250.510	250.506	251.003	252.529	257.005	 1.512	27440.781	
