Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
2-Sep-13	sub106	906	2	1	1	2	9	2	0	0.005	0.506	4.548	6.501	4.032	13712.74	
2-Sep-13	sub106	906	2	2	1	0	7	3	8.27	8.271	8.773	12.396	14.768	3.622	13712.74	
2-Sep-13	sub106	906	2	3	1	0	6	1	20.015	20.011	20.512	21.899	26.507	1.37	13712.74	
2-Sep-13	sub106	906	2	4	1	4	12	2	32.169	32.169	32.67	37.68	38.665	4.996	13712.74	
2-Sep-13	sub106	906	2	5	1	0	7	1	44.11	44.109	44.61	47.7	50.606	3.08	13712.74	
2-Sep-13	sub106	906	2	6	1	0	6	1	55.939	55.933	56.434	58.053	62.446	1.617	13712.74	
2-Sep-13	sub106	906	2	7	1	0	6	3	69.027	69.025	69.526	71.965	75.521	2.42	13712.74	
2-Sep-13	sub106	906	2	8	1	0	12	2	78.047	78.043	78.544	0	84.556	0	13712.74	
2-Sep-13	sub106	906	2	9	1	0	7	3	86.913	86.911	87.412	91.553	93.407	4.127	13712.74	
2-Sep-13	sub106	906	2	10	1	4	9	4	95.596	95.595	96.096	98.835	102.091	2.731	13712.74	
2-Sep-13	sub106	906	2	11	1	4	9	4	104.158	104.162	104.663	106.45	110.658	1.771	13712.74	
2-Sep-13	sub106	906	2	12	1	4	9	2	113.265	113.263	113.764	116.519	119.759	2.75	13712.74	
2-Sep-13	sub106	906	2	13	1	0	6	3	123.707	123.7	124.201	125.487	130.213	1.273	13712.74	
2-Sep-13	sub106	906	2	14	1	6	12	4	135.732	135.741	136.225	137.745	142.237	1.505	13712.74	
2-Sep-13	sub106	906	2	15	1	0	7	3	147.519	147.514	148.015	150.086	154.027	2.059	13712.74	
2-Sep-13	sub106	906	2	16	1	2	7	3	156.844	156.85	157.351	162.377	163.346	5.019	13712.74	
2-Sep-13	sub106	906	2	17	1	6	12	4	166.587	166.586	167.087	170.176	173.082	3.084	13712.74	
2-Sep-13	sub106	906	2	18	1	0	7	1	177.194	177.19	177.691	179.444	183.703	1.743	13712.74	
2-Sep-13	sub106	906	2	19	1	0	6	3	186.832	186.826	187.327	189.231	193.339	1.891	13712.74	
2-Sep-13	sub106	906	2	20	1	0	12	2	194.992	194.992	195.493	199.217	201.488	3.717	13712.74	
2-Sep-13	sub106	906	2	21	1	2	9	4	207.331	207.333	207.834	210.823	213.829	2.984	13712.74	
2-Sep-13	sub106	906	2	22	1	4	12	2	219.535	219.541	220.042	222.413	226.037	2.368	13712.74	
2-Sep-13	sub106	906	2	23	1	4	12	4	230.726	230.73	231.231	233.368	237.226	2.124	13712.74	
2-Sep-13	sub106	906	2	24	1	2	9	2	239.293	239.297	239.798	244.273	245.792	4.469	13712.74	
2-Sep-13	sub106	906	2	25	1	4	12	2	250.51	250.519	251.003	253.458	257.015	2.448	13712.74	
2-Sep-13	sub106	906	2	26	1	0	6	1	259.919	259.921	260.422	262.159	266.417	1.725	13712.74	
2-Sep-13	sub106	906	2	27	1	4	12	4	268.279	268.287	268.772	270.826	274.783	2.047	13712.74	
2-Sep-13	sub106	906	2	28	1	2	12	2	279.436	279.443	279.944	284.536	285.939	4.578	13712.74	
2-Sep-13	sub106	906	2	29	1	0	6	3	288.89	288.895	289.396	290.515	295.391	1.102	13712.74	
2-Sep-13	sub106	906	2	30	1	0	6	1	299.075	299.082	299.583	301.136	305.578	1.547	13712.74	
2-Sep-13	sub106	906	2	31	1	0	6	3	307.251	307.248	307.749	309.703	313.744	1.941	13712.74	
2-Sep-13	sub106	906	2	32	1	2	9	4	319.181	319.188	319.689	322.578	325.685	2.873	13712.74	
2-Sep-13	sub106	906	2	33	1	0	7	1	330.624	330.628	331.129	335.22	337.124	4.073	13712.74	
2-Sep-13	sub106	906	2	34	1	2	9	4	343.65	343.653	344.154	346.409	350.15	2.248	13712.74	
2-Sep-13	sub106	906	2	35	1	2	9	2	354.025	354.024	354.525	356.713	360.52	2.173	13712.74	
2-Sep-13	sub106	906	2	36	1	4	12	4	362.165	362.174	362.658	363.827	368.67	1.153	13712.74	
2-Sep-13	sub106	906	2	37	1	2	7	3	375.072	375.066	375.567	378.356	381.579	2.78	13712.74	
2-Sep-13	sub106	906	2	38	1	4	9	4	387.3	387.307	387.808	391.398	393.803	3.578	13712.74	
2-Sep-13	sub106	906	2	39	1	0	6	3	396.505	396.508	397.009	398.245	403.004	1.217	13712.74	
2-Sep-13	sub106	906	2	40	1	0	7	3	408.021	408.014	408.515	411.905	414.527	3.383	13712.74	
2-Sep-13	sub106	906	2	41	1	0	6	1	417.538	417.533	418.034	419.02	424.046	0.976	13712.74	
2-Sep-13	sub106	906	2	42	1	4	12	2	429.592	429.59	430.091	432.68	436.086	2.575	13712.74	
2-Sep-13	sub106	906	2	43	1	0	7	1	439.608	439.61	440.111	442.617	446.107	2.491	13712.74	
2-Sep-13	sub106	906	2	44	1	4	12	4	449.005	449.013	449.514	451.818	455.509	2.289	13712.74	
2-Sep-13	sub106	906	2	45	1	2	9	4	458.399	458.398	458.899	463.708	464.894	4.792	13712.74	
2-Sep-13	sub106	906	2	46	1	0	7	1	470.719	470.722	471.223	473.711	477.218	2.475	13712.74	
2-Sep-13	sub106	906	2	47	1	2	9	2	481.434	481.427	481.928	484.149	487.94	2.211	13712.74	
2-Sep-13	sub106	906	2	48	1	2	9	2	489.505	489.51	490.011	492.849	496.006	2.832	13712.74	
2-Sep-13	sub106	906	2	49	1	4	12	4	501.712	501.717	502.218	503.47	508.213	1.248	13712.74	
2-Sep-13	sub106	906	2	50	1	0	6	1	514.923	514.926	515.428	516.346	521.423	0.911	13712.74	
2-Sep-13	sub106	906	2	51	1	0	6	1	522.475	522.475	522.976	524.078	528.971	1.098	13712.74	
2-Sep-13	sub106	906	2	52	1	2	9	2	534.335	534.332	534.833	536.954	540.845	2.106	13712.74	
2-Sep-13	sub106	906	2	53	1	0	7	1	543.643	543.65	544.151	545.988	550.146	1.827	13712.74	
2-Sep-13	sub106	906	2	54	1	0	6	3	554.447	554.455	554.956	556.325	560.951	1.366	13712.74	
2-Sep-13	sub106	906	2	55	1	4	12	2	562.761	562.755	563.256	564.758	569.268	1.499	13712.74	
2-Sep-13	sub106	906	2	56	1	0	6	1	571.889	571.89	572.391	573.242	578.386	0.836	13712.74	
2-Sep-13	sub106	906	2	57	1	4	12	4	584.365	584.364	584.865	586.051	590.86	1.169	13712.74	
2-Sep-13	sub106	906	2	58	1	2	9	4	594.521	594.518	595.019	597.373	601.014	2.352	13712.74	
2-Sep-13	sub106	906	2	59	1	0	7	1	602.02	602.016	602.517	603.903	608.529	1.374	13712.74	
2-Sep-13	sub106	906	2	60	1	0	7	3	609.962	609.965	610.466	611.618	616.461	1.144	13712.74	
2-Sep-13	sub106	906	2	61	1	4	12	4	622.707	622.707	623.208	624.46	629.203	1.242	13712.74	
2-Sep-13	sub106	906	2	62	1	0	6	3	635.109	635.115	635.616	636.735	641.611	1.106	13712.74	
2-Sep-13	sub106	906	2	63	1	0	6	1	646	646.003	646.504	647.339	652.499	0.818	13712.74	
2-Sep-13	sub106	906	2	64	1	2	9	2	655.456	655.455	655.956	657.442	661.951	1.478	13712.74	
2-Sep-13	sub106	906	2	65	1	0	7	3	667.404	667.412	667.896	670.853	673.909	2.938	13712.74	
2-Sep-13	sub106	906	2	66	1	2	9	4	679.119	679.119	679.62	682.559	685.615	2.926	13712.74	
2-Sep-13	sub106	906	2	67	1	2	9	2	688.211	688.203	688.704	691.41	694.717	2.698	13712.74	
2-Sep-13	sub106	906	2	68	1	0	6	3	700.904	700.912	701.396	702.231	707.408	0.83	13712.74	
2-Sep-13	sub106	906	2	69	1	4	12	2	714.281	714.289	714.79	716.209	720.785	1.412	13712.74	
2-Sep-13	sub106	906	2	70	1	0	7	1	723.893	723.891	724.392	725.678	730.387	1.267	13712.74	
2-Sep-13	sub106	906	2	71	1	0	7	1	735.47	735.464	735.965	736.95	741.977	0.981	13712.74	
2-Sep-13	sub106	906	2	72	1	0	7	3	743.418	743.413	743.914	745.484	749.926	1.561	13712.74	
2-Sep-13	sub106	906	2	1	2	0	6	3	0	0.017	0.502	1.587	6.496	1.075	14567.189	
2-Sep-13	sub106	906	2	2	2	0	6	1	10.465	10.471	10.972	11.824	16.967	0.836	14567.189	
2-Sep-13	sub106	906	2	3	2	2	9	2	18.462	18.471	18.954	20.525	24.967	1.558	14567.189	
2-Sep-13	sub106	906	2	4	2	4	12	4	30.796	30.795	31.296	32.649	37.291	1.337	14567.189	
