membership,split,note,Interaction_dACC,Interaction_rmPFC,rmPFC,dACC,dlPFC,PPC
1,1,inF,-2.97881024,-10.69633088,-9.702700246,-2.043376081,1.677330415,10.68857792
1,1,inF,7.503030189,-0.454627955,-0.599169502,7.763081873,7.402910667,13.26902331
1,1,inF,-1.230502507,-1.522644463,-1.10629285,-0.324360763,1.971122554,0.410797827
1,1,inF,8.457288627,-4.661249448,-3.290384934,8.696994045,10.93864039,12.82373337
1,1,inF,1.030058561,3.311859938,2.995773698,0.729605246,-0.644664485,0.557093275
1,1,inF,8.776551411,-3.878204974,-3.138031388,9.048007045,6.213815524,17.06921066
1,1,inF,4.684318448,-3.882767102,-1.218871248,7.243897943,11.73733646,27.33104191
1,1,inF,7.214824893,-5.629356873,-4.446837813,7.994175719,10.64927241,13.59207216
1,1,inF,11.33130791,-6.413944888,-5.856475483,11.73267389,13.02901338,18.01473298
1,1,inF,0.607202748,0.539506794,-0.512425552,1.963967944,0.971930943,2.296610434
1,1,inF,5.735485256,-4.094564919,-3.49843333,4.49202984,3.589410743,9.545390806
1,1,inF,-0.559704017,-11.44801935,-10.41982824,1.89152608,-0.899274103,3.123778028
1,1,inF,9.689107123,-7.138969236,-4.208459325,8.392130396,4.796069484,9.61022936
1,1,inF,6.130013312,-4.689988737,-1.570541543,6.770608412,10.65646595,21.79638651
1,1,inF,8.063182337,-2.117567653,-2.087734805,9.479281557,8.754807802,14.07269558
1,1,inF,2.283598246,-6.162001159,-5.307779878,3.437794187,-1.467395152,3.467164774
1,1,inF,7.225972025,-0.680475282,0.060020402,7.744547364,11.79247782,16.97621041
1,1,inF,15.16150359,-9.429786309,-7.802439416,12.90600467,6.616147043,11.3475269
1,1,inF,16.26326056,3.371611012,4.419984233,18.28675891,19.77094394,18.17224978
1,1,inF,7.361079983,-3.976447379,-2.348864423,7.309371534,3.535779325,8.860384947
1,1,inF,8.626762222,-5.487274212,-4.005002282,8.86558808,6.196836724,5.274375535
1,1,inF,4.293763488,-5.613328939,-3.743704537,4.513758315,2.592854331,3.803184009
1,1,inF,-1.281981386,-4.617694368,-3.936105468,-0.697571293,-0.280379999,12.77354356
1,1,inF,7.565974301,2.485387334,5.294030675,10.37052641,12.06745086,24.76056071
1,1,inF,-0.579547706,-4.616421897,-0.594939148,2.450543922,5.950070821,22.50533233
1,1,inF,6.43266008,-2.831544217,-1.246131945,6.979243299,11.04883479,19.15637384
1,1,inF,-1.225683139,-6.751556816,-5.803513447,4.083822852,5.99805995,15.05753854
1,1,inF,0.868549371,2.508886148,1.670007329,3.5685272,1.499410229,5.009603891
1,1,inF,19.96756347,1.582911183,2.031089367,18.21909231,15.81705299,14.97045722
1,1,inF,3.558604018,-5.070809679,-1.96365971,6.753486099,10.08270173,15.57076566
1,1,inF,3.071161464,-7.781425354,-5.749683962,2.773118778,10.46491675,13.35553152
1,1,inF,-0.650582051,2.029023549,1.527163957,0.835161458,4.688689119,4.688681018
1,1,inF,10.79888396,-6.807606602,-5.40802665,12.91814299,8.303285348,13.62875267
1,1,inF,4.089845444,-4.011729432,-2.50193799,4.109441288,4.209342272,8.383068867
1,1,inF,1.322344961,0.631288063,1.707069855,1.807082757,2.286551158,6.487384541
1,1,inF,-0.306367524,-9.065920599,-5.2253305,1.066749449,3.496959563,3.725962089
1,1,inF,3.258103438,-2.789508618,-2.214429867,5.698711048,6.341378171,15.73920224
1,1,inF,14.87864178,0.933857355,2.039889532,14.55673464,16.47489995,22.10020126
1,1,inF,7.687667746,-1.084982327,1.754581622,7.778375313,8.278919453,12.39745799
1,1,inF,14.9671265,-0.56187373,0.584565847,14.4422981,7.288627793,7.37883874
1,1,inF,9.135837111,4.652238929,3.438195788,11.56140741,12.90727311,20.19138277
1,1,inF,5.216419182,0.121289549,0.501649666,5.51988143,5.084800854,12.47424502
1,1,inF,12.91518119,-4.302594139,-2.196620597,12.69626602,8.233787808,22.61367858
1,1,inF,3.047702297,1.4954785,2.413672098,1.835784774,3.576412286,7.307337008
1,1,inF,5.522267425,-6.049374423,-3.374279712,5.358240044,16.4862994,22.35916303
1,1,inF,10.41236548,-4.855582501,-2.758791499,8.513172487,6.988514581,17.45534076
1,1,inF,3.622450624,-2.861807119,-1.971964018,4.472237004,4.071262721,11.20968325
1,1,inF,0.257756417,-3.056165836,-2.513139087,0.203739404,3.251861684,1.588066564
1,1,inF,3.906669693,-10.04949302,-7.551839071,4.335802059,5.726146179,14.83165213
1,1,inF,2.536958481,2.407606877,1.988408768,5.360478925,5.983964846,8.189296533
1,1,inF,3.862189664,-1.898197707,-0.515990648,5.234804853,1.960389769,11.54135355
1,1,inF,9.210332713,-10.78567419,-7.774791719,8.506827593,7.106872601,4.493472154
1,1,inF,6.619371846,-9.454542453,-6.81999659,7.662180865,12.73123165,8.773529554
1,1,inF,13.51271129,4.201257453,4.484199068,12.53036379,17.45083776,14.4690511
1,1,inF,0.265834224,-9.706065194,-7.951544999,0.214643641,-1.338035658,8.051852175
