membership,split,note,Interaction_dACC,Interaction_mPFC,mPFC,dACC,dlPFC,PPC,Ventral_striatum_dACC,Thalamus_dACC,Thalamus_dlPFC,Ventral_striatum_dlPFC,Posterior_Cerebellum_dlPFC
1,1,inF,-2.97881024,-10.69633088,-9.702700246,-2.043376081,1.677330415,10.68857792,-0.061924779,0.609067681,-0.305788765,0.000668986,0.810016545
1,1,inF,7.503030189,-0.454627955,-0.599169502,7.763081873,7.402910667,13.26902331,-0.773259483,0.487957453,-0.050715438,0.450104669,1.403545175
1,1,inF,-1.230502507,-1.522644463,-1.10629285,-0.324360763,1.971122554,0.410797827,3.753710424,2.135347821,0.998966955,3.24100432,0.705764823
1,1,inF,8.457288627,-4.661249448,-3.290384934,8.696994045,10.93864039,12.82373337,-0.921498085,-0.892583669,0.145543688,-0.484372895,0.259662159
1,1,inF,1.030058561,3.311859938,2.995773698,0.729605246,-0.644664485,0.557093275,-2.314196514,-1.167772706,-0.974482709,-1.870326359,-1.839399154
1,1,inF,8.776551411,-3.878204974,-3.138031388,9.048007045,6.213815524,17.06921066,0.951083461,-0.225283361,-1.270424378,-2.267967751,-1.112680312
1,1,inF,4.684318448,-3.882767102,-1.218871248,7.243897943,11.73733646,27.33104191,1.591350569,2.86120638,0.718603701,2.251677847,3.291536721
1,1,inF,7.214824893,-5.629356873,-4.446837813,7.994175719,10.64927241,13.59207216,0.518928845,0.348017508,0.741257973,0.493675495,-0.043914984
1,1,inF,11.33130791,-6.413944888,-5.856475483,11.73267389,13.02901338,18.01473298,-0.271529522,-0.904921534,0.607770122,-1.165445808,-1.116491559
1,1,inF,0.607202748,0.539506794,-0.512425552,1.963967944,0.971930943,2.296610434,-0.202856497,-1.049127521,-0.948466006,-0.050328862,-1.133088941
1,1,inF,5.735485256,-4.094564919,-3.49843333,4.49202984,3.589410743,9.545390806,0.189962741,0.369734781,-0.057228045,0.048407756,-2.009686285
1,1,inF,-0.559704017,-11.44801935,-10.41982824,1.89152608,-0.899274103,3.123778028,-2.170062032,-2.924423261,-0.282964112,-1.255738202,-2.278183612
1,1,inF,9.689107123,-7.138969236,-4.208459325,8.392130396,4.796069484,9.61022936,1.977206055,1.120238659,0.593159904,1.194143522,1.248381029
1,1,inF,6.130013312,-4.689988737,-1.570541543,6.770608412,10.65646595,21.79638651,0.320290767,0.773221503,-0.400661673,0.607352969,2.157815097
1,1,inF,8.063182337,-2.117567653,-2.087734805,9.479281557,8.754807802,14.07269558,0.402144731,0.807080247,0.2834799,0.59367088,0.684901506
